,genre_name,derived_genre_id
369,southern soul,genre369
370,power metal,genre370
371,swedish metal,genre371
372,swedish power metal,genre372
373,kleine hoerspiel,genre373
374,pop reggaeton,genre374
375,dembow,genre375
376,rap dominicano,genre376
377,belgian hip hop,genre377
378,rap belge,genre378
379,urbano espanol,genre379
380,reggae fusion,genre380
381,canadian latin,genre381
382,melbourne bounce international,genre382
383,bubblegum dance,genre383
384,eurodance,genre384
385,future house,genre385
386,ska mexicano,genre386
387,ska punk,genre387
388,wrestling,genre388
389,canadian punk,genre389
390,canadian pop punk,genre390
391,northern irish indie,genre391
392,alternative dance,genre392
393,lo-fi indie,genre393
394,edmonton indie,genre394
395,pop r&b,genre395
396,uk contemporary r&b,genre396
397,jam band,genre397
398,viral trap,genre398
399,ambient worship,genre399
400,deep ccm,genre400
401,rhode island rap,genre401
402,lo-fi vgm,genre402
403,funk pop,genre403
404,funk ostentacao,genre404
405,boston hip hop,genre405
406,classical,genre406
407,post-romantic era,genre407
408,italian opera,genre408
409,italian romanticism,genre409
410,french synthpop,genre410
411,neo-synthpop,genre411
412,french shoegaze,genre412
413,grupera,genre413
414,new wave pop,genre414
415,sophisti-pop,genre415
416,chamber pop,genre416
417,brighton indie,genre417
418,nuevo regional mexicano,genre418
419,texas country,genre419
420,country dawn,genre420
421,chill pop,genre421
422,sierreno,genre422
423,corridos tumbados,genre423
424,pianissimo,genre424
425,stoner metal,genre425
426,palm desert scene,genre426
427,mexican classic rock,genre427
428,electronica,genre428
429,new rave,genre429
430,electroclash,genre430
431,british singer-songwriter,genre431
432,old school rap francais,genre432
433,detroit trap,genre433
434,comedy rap,genre434
435,lilith,genre435
436,perreo,genre436
437,sleaze rock,genre437
438,nova mpb,genre438
439,pop lgbtq+ brasileira,genre439
440,folk brasileiro,genre440
441,polish classical,genre441
442,early romantic era,genre442
443,rock alternativo brasileiro,genre443
444,rock nacional brasileiro,genre444
445,hard rock brasileiro,genre445
446,brazilian rock,genre446
447,cubaton,genre447
448,early modern classical,genre448
449,austro-german modernism,genre449
450,freak folk,genre450
451,chicago drill,genre451
452,chicago bop,genre452
453,canadian indie,genre453
454,quebec indie,genre454
455,new jack swing,genre455
456,vocal house,genre456
457,filter house,genre457
458,disco house,genre458
459,canadian country,genre459
460,g-house,genre460
461,belgian pop,genre461
462,turkish hip hop,genre462
463,turkish trap,genre463
464,british folk,genre464
465,bass trap,genre465
466,video game music,genre466
467,speedrun,genre467
468,torch song,genre468
469,soul jazz,genre469
470,sleep,genre470
471,white noise,genre471
472,puerto rican rock,genre472
473,latin afrobeat,genre473
