,spotify_album_id,derived_album_id,album_name
101,spotify:album:5PerfGh9Smd6XjwkxpmL4V,album0101,Revenge Of The Dreamers III: Director's Cut
102,spotify:album:1BdxbYp1FaNejpDgtDo25V,album0102,Let It Be (Super Deluxe)
103,spotify:album:5iT3F2EhjVQVrO4PKhsP8c,album0103,Abbey Road (Super Deluxe Edition)
104,spotify:album:1WMVvswNzB9i2UMh9svso5,album0104,The Beatles
105,spotify:album:7vZC8PTQUCcw3687OxqY98,album0105,#7DJ (7 Días En Jamaica)
106,spotify:album:0p2yf6DucEgvj8Uk8KXJJv,album0106,PAPI JUANCHO
107,spotify:album:3YIUNL7qFE8NP3X3zaYSND,album0107,0.465972222
108,spotify:album:0Q5XBpCYFgUWiG9DUWyAmJ,album0108,Scaled And Icy
109,spotify:album:621cXqrTSSJi1WqDMSLmbL,album0109,Trench
110,spotify:album:3cQO7jp5S9qLBoIVtbkSM1,album0110,Blurryface
111,spotify:album:7tcs1X9pzFvcLOPuhCstQJ,album0111,Golden Hour
112,spotify:album:7LbyVLGeEWZYOUKCecv3gI,album0112,Kids in Love (Remixes)
113,spotify:album:47oyrKaeobswT4T8zyaxdM,album0113,Kids in Love
114,spotify:album:0PdM3OAjaIYDem5nJ7Rz5n,album0114,Shockwave
115,spotify:album:5WVEZjUZQcylh2Ha8YpgqC,album0115,Shockwave
116,spotify:album:6yXPyhVxt3PHBwkinPFn6I,album0116,Shockwave
117,spotify:album:28DUZ0itKISf2sr6hlseMy,album0117,Hybrid Theory (20th Anniversary Edition)
118,spotify:album:0zcNtUZ2oEpRmiDuWBFvcX,album0118,One More Light Live
119,spotify:album:6MFWo7xkvWXMTXfBAWNULd,album0119,One More Light Live
120,spotify:album:6Ad1E9vl75ZB3Ir87zwXIJ,album0120,TIM
121,spotify:album:5agaGRpUmK9tbmwJRERHtT,album0121,Stories
122,spotify:album:4TQBKFrKq5dNxsAXZwn8tZ,album0122,Stories
123,spotify:album:3aITAVBURujVe8fhI2seeR,album0123,Pluto x Baby Pluto (Deluxe)
124,spotify:album:48xpWR8K6CGpy3ETAym3pt,album0124,Pluto x Baby Pluto
125,spotify:album:27fzM2E0lgovCD7PCq6eh4,album0125,Pluto x Baby Pluto (Deluxe)
126,spotify:album:47zMF6LrXQ8odi6Xv1unC0,album0126,Smile
127,spotify:album:38hfmutL8qSnflpigbMoLw,album0127,Smile
128,spotify:album:0UlbGi4oAth8s6rwaGSU8Z,album0128,Witness (Deluxe)
129,spotify:album:3AvPX1B1HiFROvYjLb5Qwi,album0129,25
130,spotify:album:6TVfiWmo8KtflUAmkK9gGF,album0130,25
131,spotify:album:2DAh6Er0J8AxZDu6W1pjAW,album0131,21
132,spotify:album:3Vsbl0diFGw8HNSjG8ue9m,album0132,Romance
133,spotify:album:6KJtbd2IWBB0C3bI73Ut3W,album0133,Romance
134,spotify:album:2vD3zSQr8hNlg0obNel4TE,album0134,Camila
135,spotify:album:0T6QxdJZwYrXPHd829SnqK,album0135,La 167
136,spotify:album:4lsdX5CimNaabkZUxX6rx8,album0136,En Letra de Otro
137,spotify:album:1PgFsarDcIwCvLX32DpcxB,album0137,Gangalee
138,spotify:album:2wwCc6fcyhp1tfY3J6Javr,album0138,Blue Banisters
139,spotify:album:6QeosPQpJckkW0Obir5RT8,album0139,Chemtrails Over The Country Club
140,spotify:album:5XpEKORZ4y6OrCZSKsi46A,album0140,Norman Fucking Rockwell!
141,spotify:album:1mbNqu5D67Ry2N9aJFMxTj,album0141,Jason Derulo (10th Anniversary Deluxe)
142,spotify:album:5YUCuqfW8rTkGCswfkDrPy,album0142,Everything Is 4
143,spotify:album:59eUYETmE1zi31ESb3SUkI,album0143,Everything Is 4
144,spotify:album:43otFXrY0bgaq5fB3GrZj6,album0144,The Getaway
145,spotify:album:5wZtSIvijWCMc1vlPFqAyB,album0145,I'm with You
146,spotify:album:7xl50xr9NDkd3i2kBbzsNZ,album0146,Stadium Arcadium
147,spotify:album:7kZP9XNkAgcKMqhXWZG4PB,album0147,Unfollow
148,spotify:album:6lY3u461PHRz0PsO4KwzWU,album0148,"Ptazeta: Bzrp Music Sessions, Vol. 45"
149,spotify:album:2r7IVQiJULrFYTN195Dtwo,album0149,"MHD: Bzrp Music Sessions, Vol. 44"
150,spotify:album:68eb6W0PT8nOUqQOXQHNJS,album0150,tm06 toxic
151,spotify:album:3dlb9Ln4sYzsJEppql4uy4,album0151,DANCE!
152,spotify:album:1VviGvE0SEU27OdfONdiQt,album0152,Goth Bitch
153,spotify:album:7Heaa0B4KOxdWhSICTR2wE,album0153,Live at the Royal Albert Hall
154,spotify:album:1jeMiSeSnNS0Oys375qegp,album0154,Tranquility Base Hotel & Casino
155,spotify:album:0BkjGslMnD0dvJH9u1mjLF,album0155,Tranquility Base Hotel & Casino
156,spotify:album:2zbfishc70HpcgMu8ymtri,album0156,Dancing With The Devil…The Art of Starting Over (Deluxe Edition)
157,spotify:album:7LEb5SYZrXiB8NDj2oYvOd,album0157,Dancing With The Devil…The Art of Starting Over
158,spotify:album:6sd6oS6HuxB2ikLldAz4q9,album0158,Dancing With The Devil…The Art of Starting Over
159,spotify:album:3UwcZ5menPSCTvdxyYgxZj,album0159,The Martin Garrix Experience
160,spotify:album:3P5KroUlTCQ6ZGViQpCixc,album0160,Diamonds
161,spotify:album:3YRKOtLYysmk04YlzvpnU3,album0161,Followers
162,spotify:album:2uGyQQS82uzaTXSBe2bs4A,album0162,These Things Happen Too (Deluxe)
163,spotify:album:4j7Y3vNhgBBRAujJl85UDk,album0163,These Things Happen Too
164,spotify:album:3MH4gUVIghBW3W6Jr3aWh9,album0164,The Beautiful & Damned (Deluxe Edition)
165,spotify:album:5BRhg6NSEZOj0BR6Iz56fR,album0165,Plastic Hearts
166,spotify:album:0BCjAmbM8ryCM9gxy5yW7h,album0166,Plastic Hearts
167,spotify:album:5xG9gJcs9ut3qDWezHUlsX,album0167,Younger Now
168,spotify:album:2OBCjQHamuBhnDjUAnWjro,album0168,Music Is The Weapon (Remixes)
169,spotify:album:3ZveBbPoIqrKjMDFm61ntJ,album0169,Music Is the Weapon (Remixes)
170,spotify:album:1mKjtx0Gq8cY3FC8l66SrK,album0170,Music Is The Weapon (Remixes)
171,spotify:album:0SrskI3mHcu5MzKeZNv2f6,album0171,Human (Deluxe)
172,spotify:album:6wxPYC9LuoJCtKtFw4UDgf,album0172,CLOUDS (Music From The Disney+ Original Movie)
173,spotify:album:3sABlBpkGohgVYOVN23q8m,album0173,Oh My My
174,spotify:album:2X8UOIkZQdcz2Hi5Ynt2uk,album0174,Scream
175,spotify:album:5sXEWtPp2JZG88ji9bLmwZ,album0175,XSCAPE
176,spotify:album:7pomP86PUhoJpY3fsC0WDQ,album0176,XSCAPE
177,spotify:album:6ApYSpXF8GxZAgBTHDzYge,album0177,Pray for the Wicked
178,spotify:album:2VnKzCESTePshnbUALlDt2,album0178,All My Friends We're Glorious: Death of a Bachelor Tour Live
179,spotify:album:6twKQ0EsUJHVlAr6XBylrj,album0179,Death of a Bachelor
180,spotify:album:5hKAQ3WuOJtaOW2a8hpIXY,album0180,VICE VERSA
181,spotify:album:3fq06DDIkadDRB9RuBb22v,album0181,Afrodisíaco
182,spotify:album:0i9MBa4hxPQcGqcOn5YSOz,album0182,Concierto Virtual en Tiempos de COVID-19 Desde el Coliseo de Puerto Rico
183,spotify:album:6nCJAxRvXmPkPiZo8Vh5ZG,album0183,Libertad 548
184,spotify:album:6ZSNnOY2ESMNoVQ5DdvHrj,album0184,Gotti (Original Motion Picture Soundtrack)
185,spotify:album:39xouyYx1aPKQgdglf0NJF,album0185,Sunbeam (feat. Pitbull)
186,spotify:album:5EnCmhahbIADlTDZJUqzYh,album0186,Brightest Blue
187,spotify:album:7hCfgsycCFH4bBjEfUwh3S,album0187,Brightest Blue
188,spotify:album:44va7sFuK8IGzrj0BIX8kK,album0188,Brightest Blue
189,spotify:album:7xV2TzoaVc0ycW7fwBwAml,album0189,Fine Line
190,spotify:album:1FZKIm3JVDCxTchXDo5jOV,album0190,Harry Styles
191,spotify:album:5SL9nXZYZZl68bHwaM8uLa,album0191,Adore You
192,spotify:album:74gSdSHe71q7urGWMMn3qB,album0192,Cuz I Love You (Deluxe)
193,spotify:album:2KJjOBX280F3hZZE1xO33O,album0193,Cuz I Love You (Super Deluxe)
194,spotify:album:6dFFcYQ8VhifgdKgYY5LYL,album0194,Cuz I Love You
195,spotify:album:22rKa9MG4cHIRxvL1Vbs0q,album0195,Rolling Papers (Deluxe 10 Year Anniversary Edition)
196,spotify:album:7GmwwE2wcNtyq7nlsrYVuD,album0196,The Saga of Wiz Khalifa (Deluxe)
197,spotify:album:7AIQBeaR2xTOl3FDxJMTwg,album0197,The Saga of Wiz Khalifa (Deluxe)
198,spotify:album:6CIslPQSknp875cigkhKJC,album0198,The London Sessions
199,spotify:album:1BsVW2iNL53ZJY573fjHKK,album0199,The London Sessions
200,spotify:album:0gEZcQnr9znzClpg2ts5qm,album0200,Together
201,spotify:album:6SL49HqoUwu2hhfukBAK3Q,album0201,BLAME IT ON BABY (DELUXE)
202,spotify:album:7E2Jnmff9veZnuyOwXHGbS,album0202,BLAME IT ON BABY (DELUXE)
203,spotify:album:623PL2MBg50Br5dLXC9E9e,album0203,BLAME IT ON BABY
204,spotify:album:5Zyj0zwOksGYLbLAZOaC31,album0204,FANTASÍA
205,spotify:album:1l1zcI8iwJg4WCb7jxHtbN,album0205,MANTRA
206,spotify:album:4mdWMx4VouAqsIqgLt3R6S,album0206,Tacones Rojos
207,spotify:album:71OpEL0ZAD5YpOFBFolErW,album0207,Future Nostalgia (The Moonlight Edition)
208,spotify:album:0JeyP8r2hBxYIoxXv11XiX,album0208,Future Nostalgia (The Moonlight Edition)
209,spotify:album:0E3wRkztEF32ZdYICXBuBf,album0209,Future Nostalgia (The Moonlight Edition)
210,spotify:album:7IKkHmEk4It4cRdOYanyvW,album0210,Punk
211,spotify:album:4tYDU5yrBpOxg2hUuBOgBo,album0211,Punk
212,spotify:album:3XADnbi4uhYXb7RuSJ7bre,album0212,Slime Language 2 (Deluxe)
213,spotify:album:5gJDUpoOlZxxgk2SDsTa6h,album0213,Bobby Tarantino III
214,spotify:album:2GlNXmYUojl1juGRExE1Sf,album0214,Bobby Tarantino III
215,spotify:album:3UTazkAlLS4ZmVbIgJentC,album0215,YS Collection Vol. 1
216,spotify:album:2WrNHOba5u6P9S9xEboaUy,album0216,Perfect Ten
217,spotify:album:5J4BVhfrPdwGqEuy0TcjXI,album0217,Perfect Ten
218,spotify:album:5alhJcqITAVC4o6f8qGO0Z,album0218,The Ghetto
219,spotify:album:1CLDNcfuwhl9KUrervfOQu,album0219,Live Fast (Japan Exclusive)
220,spotify:album:3nzuGtN3nXARvvecier4K0,album0220,Different World
221,spotify:album:0F6BBeoVYaOYlPKw6NDgDD,album0221,Different World
222,spotify:album:2MlgtDuxXXz8c8Toc9kKTd,album0222,Believers Never Die (Volume Two)
223,spotify:album:4IUklIRLDk5I2w8jil9lQ5,album0223,Believers Never Die (Volume Two)
224,spotify:album:16xtTZvPH6PXcwSqYqJHHG,album0224,MANIA
225,spotify:album:40IcRv5uAg0lpafKsxnQ9g,album0225,Music Is The Weapon (Reloaded)
226,spotify:album:6QkaLeuxTaYibek4fhwpmF,album0226,Diplo Presents Thomas Wesley: Snake Oil (Deluxe)
227,spotify:album:0xJyM0DFwty067hIBH5fql,album0227,Music is the Weapon
228,spotify:album:4B7vNl7Ud0csW77uXYeMGM,album0228,Sixtape 2
229,spotify:album:7AwrgenNcTAJlJF3pKL0Qr,album0229,No Love Lost (Deluxe)
230,spotify:album:0pwGvLOBpgIgFlrQVSRqh9,album0230,No Love Lost
231,spotify:album:2JmfwvRDitJlTUoLCkp61z,album0231,Sob Rock
232,spotify:album:0jZFu2tihRJ65iYAo0oOtP,album0232,The Search for Everything
233,spotify:album:712VoD72K500yLhhgqCyVe,album0233,Paradise Valley
234,spotify:album:7h5xn0Olvx2p0eQcSt1Osy,album0234,Metallica (Remastered Deluxe Box Set)
235,spotify:album:3dck2tBxGfxj9m3CguDgjb,album0235,Metallica (Remastered 2021)
236,spotify:album:7N32mF0BlA3BOhlSyCiHgf,album0236,The Metallica Blacklist
237,spotify:album:11GmvpYnbgK0rSryPaV5BP,album0237,JOSE
238,spotify:album:2mX8ktJoWvyidWBU9U8Jis,album0238,Colores
239,spotify:album:6ylFfzx32ICw4L1A7YWNLN,album0239,OASIS
240,spotify:album:2kqn09pydzvKvB3xWbAxY4,album0240,This Unruly Mess I've Made
241,spotify:album:061vVdNVxwouz0INdQeOkn,album0241,All I Know So Far: Setlist
242,spotify:album:6GKO2wiPdGjIpSmWlelmft,album0242,All I Know So Far: Setlist
243,spotify:album:21QYZBEhxUubB55qV5ufqX,album0243,Hurts 2B Human
244,spotify:album:2yuQqhSklmfWgn8lmJNk5t,album0244,Nobody Is Listening
245,spotify:album:3uMWm5YRiYJFoqji7wYKsR,album0245,Nobody Is Listening
246,spotify:album:1DF9B2hfwX4EdgEFwGcRwh,album0246,Icarus Falls
247,spotify:album:2kAqjStKcwlDD59H0llhGC,album0247,Shang-Chi and The Legend of The Ten Rings: The Album
248,spotify:album:7KUuqGouQJ7IgdGsB5PdMI,album0248,Carte Blanche (Deluxe)
249,spotify:album:29bm24DTwhCunUSVYbtXFT,album0249,Carte Blanche (Deluxe)
250,spotify:album:5SKnXCvB4fcGSZu32o3LRY,album0250,Faces
251,spotify:album:1YZ3k65Mqw3G8FzYlW1mmp,album0251,Circles (Deluxe)
252,spotify:album:5sY6UIQ32GqwMLAfSNEaXb,album0252,Circles
253,spotify:album:6EgJXcGqaUvgZIF9bqPXfP,album0253,~how i'm feeling~
254,spotify:album:1J2s2YBN58niYSzgkvCIM7,album0254,~how i'm feeling~ (the extras)
255,spotify:album:7lqieLm717j9Z8JrG7POkS,album0255,I met you when I was 18. (the playlist)
256,spotify:album:4XLPYMERZZaBzkJg0mkdvO,album0256,Planet Her (Deluxe)
257,spotify:album:4Cd0DK1kxWcT9N5cF8W6iY,album0257,Planet Her (Deluxe)
258,spotify:album:1nAQbHeOWTfQzbOoFrvndW,album0258,Planet Her
259,spotify:album:1n5t4LXCTAmiJmyMtbBxVU,album0259,Faith (Deluxe)
260,spotify:album:2N539CVAkXd9Jk722m1i6D,album0260,Faith (Deluxe)
261,spotify:album:2MlT9dGKoGH2hsfcz7UUXL,album0261,Faith
262,spotify:album:0cm9LOQUBK3JUgyoRj238z,album0262,YOU
263,spotify:album:2t2593KG5IavSe8KYRpQjT,album0263,Back from the Edge (Japan Deluxe Edition)
264,spotify:album:281OVNHJsmCsyzrBJksB8d,album0264,Back from the Edge
265,spotify:album:5auUsyFbwRARoWkOFopQ12,album0265,Stay +
266,spotify:album:2pNuka3J2N9rzaeSstLyCm,album0266,True Colors (Perfect Edition)
267,spotify:album:2oVrxRrHIRUTCA9HD9AZNo,album0267,True Colors
268,spotify:album:0KDISpxSUWynoaqwEaEeX8,album0268,Confetti (Expanded Edition)
269,spotify:album:33a8Ha3pE7fo2o4T4xLabF,album0269,Confetti
270,spotify:album:7Ho8gAx4haSxv1eFLQwvTj,album0270,LM5 (Deluxe)
271,spotify:album:3bTNxJYk2bwdWBMtrjBxb0,album0271,POWER UP
272,spotify:album:6OwvO40ahugJE5PH4TjqTg,album0272,Rock or Bust
273,spotify:album:4H6JMsvxmh0U7VBYiWiyLa,album0273,Live at River Plate
274,spotify:album:1r1Xt6oUnY3VMYbQb1U7CO,album0274,EVERYBODY'S EVERYTHING
275,spotify:album:52JymrguPgkmmwLaWIusst,album0275,"Come Over When You're Sober, Pt. 2"
276,spotify:album:33TJ52PuwenGmysJrwMGCe,album0276,"Come Over When You're Sober, Pt. 1"
277,spotify:album:46K4raQPIGem3N031upNj9,album0277,CALM
278,spotify:album:0t5H4Z4b40n519tZ4vzKAo,album0278,CALM
279,spotify:album:1zbH0DnpYxaoqTojXNLQb6,album0279,13 Reasons Why (Season 3)
280,spotify:album:4sS5IjHR0YOJQdSTQ8whWz,album0280,Trip At Knight (Complete Edition)
281,spotify:album:64QLbRPq2DIkcaoNSlmJ4y,album0281,Trip At Knight (Complete Edition)
282,spotify:album:4Sj1MJMO2jaIZyr00ipCkl,album0282,Pegasus: Neon Shark vs Pegasus Presented By Travis Barker (Deluxe)
283,spotify:album:4v0IxMbMN975IfxFHzgK9d,album0283,Artist 2.0 (Deluxe)
284,spotify:album:4UD4QCVMcxUXyYIJUTDblR,album0284,Artist 2.0 (Deluxe)
285,spotify:album:0cZAE6guibfcYmTZD7hiae,album0285,Artist 2.0
286,spotify:album:4DGNmFH2q7WEtFI88geAmu,album0286,Haitian Boy Kodak
287,spotify:album:3pYLfnFEKPO9rMX8ucSuJW,album0287,Haitian Boy Kodak
288,spotify:album:051k93izd0reEjp85OgEo6,album0288,Bill Israel
289,spotify:album:41UHZcuebNJobK1q0WLHQN,album0289,The Treatment
290,spotify:album:4GReJagRcBTMq97kYMU7Zy,album0290,Faith (with Dolly Parton) [feat. Mr. Probz] [Acoustic]
291,spotify:album:1QrYKuMTMLwpTwzOFhfnOk,album0291,Faith (with Dolly Parton) [feat. Mr. Probz]
292,spotify:album:7eQGtkzCgrIWDOe76E9F8t,album0292,CLOUDS (THE MIXTAPE)
293,spotify:album:46xdC4Qcvscfs3Ai2RIHcv,album0293,The Search
294,spotify:album:1KOmHyNLuOe5YrPhD3Juuf,album0294,Perception
295,spotify:album:01l3jTY261V3CESZR4dABz,album0295,Man of the Woods
296,spotify:album:2H8u9DigrbmhweDlLr8twg,album0296,The Book of Love (Original Motion Picture Soundtrack)
297,spotify:album:5lYzReGzcSNF0Gx47wm6qU,album0297,The 20/20 Experience - 2 of 2 (Deluxe)
298,spotify:album:2nrqcI2e61NN375lBaQIg0,album0298,Insomniac (25th Anniversary Deluxe Edition)
299,spotify:album:6pjuzPdAkJPdNBiKzcloXL,album0299,No Fun Mondays
300,spotify:album:7ij8wQxCAexZiXZbMOHcxE,album0300,Father of All...
301,spotify:album:5kE2OAuUYGBqqzscqgBXXf,album0301,KHALED KHALED
302,spotify:album:7nJ9oJt1X7kZXmFa7lgkgf,album0302,KHALED KHALED
303,spotify:album:1YgX8BWKleDlDeCOFklRfz,album0303,Father Of Asahd
304,spotify:album:3mH6qwIy9crq0I9YQbOuDf,album0304,Blonde
305,spotify:album:623Ef2ZEB3Njklix4PC0Rs,album0305,channel ORANGE (Explicit Version)
306,spotify:album:392p3shh2jkxUxY2VHvlH8,album0306,channel ORANGE
