42350,El Siguiente,spotify:track:6bUxiQ10OYp5atglHlru9g,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:79Tqv63Tf1JyKL7jHUhwXF,Vivir La Vida,10,153720,regional mexican,2/26/2021,2.56,song34794,87EA,song87EA,154,02:34
42351,Que No Me Quieras,spotify:track:3Mvjzr7ST8DjJaEOG1vcdt,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:0CnvKmPlj5MYRyWySTAODw,Vengo A Decirte,1,154280,regional mexican,1/13/2021,2.57,song34795,87EB,song87EB,154,02:34
42352,No Llores Corazon,spotify:track:7knxuOb0va0NQ9T3obQ1aB,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:0CnvKmPlj5MYRyWySTAODw,Vengo A Decirte,2,173000,ranchera,1/13/2021,2.88,song34796,87EC,song87EC,173,02:53
42353,Vengo A Decirte,spotify:track:5aTYEHwF7YILtgLlHDKe0F,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:0CnvKmPlj5MYRyWySTAODw,Vengo A Decirte,3,157213,regional mexican,1/13/2021,2.62,song34797,87ED,song87ED,157,02:37
42354,Es Bonito,spotify:track:37yaX9Lb6lelIodevWgR9T,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:0CnvKmPlj5MYRyWySTAODw,Vengo A Decirte,4,178173,nuevo regional mexicano,1/13/2021,2.97,song34798,87EE,song87EE,178,02:58
42355,La Entalladita,spotify:track:4vwqcrGLaigedBl7q5O9ah,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:0CnvKmPlj5MYRyWySTAODw,Vengo A Decirte,5,177720,nuevo regional mexicano,1/13/2021,2.96,song34799,87EF,song87EF,178,02:58
42356,La Piedra,spotify:track:5JGsLg20OEvXtU0yla3qVn,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:0CnvKmPlj5MYRyWySTAODw,Vengo A Decirte,6,163000,corrido,1/13/2021,2.72,song34800,87F0,song87F0,163,02:43
42357,Lero Lero,spotify:track:0vHf8qPilsFyvXwiZJg3tD,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:0CnvKmPlj5MYRyWySTAODw,Vengo A Decirte,7,163026,banda,1/13/2021,2.72,song34801,87F1,song87F1,163,02:43
42358,MaÃ±ana,spotify:track:3A53riSDaj4hvBd5worE06,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:0CnvKmPlj5MYRyWySTAODw,Vengo A Decirte,8,166720,ranchera,1/13/2021,2.78,song34802,87F2,song87F2,167,02:47
42359,Llevale Esta Carta A Esther,spotify:track:5v3quISuCXn7zPQimuwjdf,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:0CnvKmPlj5MYRyWySTAODw,Vengo A Decirte,9,192520,ranchera,1/13/2021,3.21,song34803,87F3,song87F3,193,03:13
42360,El Ritmo De La Matraka,spotify:track:7FNEw9sxB30IIPamJW1l4K,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:0CnvKmPlj5MYRyWySTAODw,Vengo A Decirte,10,184640,regional mexican,1/13/2021,3.08,song34804,87F4,song87F4,185,03:05
42361,Mi Baby,spotify:track:3TneFJwqmnHC2KEgDEoX5R,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:0CnvKmPlj5MYRyWySTAODw,Vengo A Decirte,11,143400,nuevo regional mexicano,1/13/2021,2.39,song34805,87F5,song87F5,143,02:23
42362,Se Me Antojo,spotify:track:1AOWnCNs6foO984fnwInN3,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:0CnvKmPlj5MYRyWySTAODw,Vengo A Decirte,12,160506,nuevo regional mexicano,1/13/2021,2.68,song34806,87F6,song87F6,161,02:41
42363,ArrÃ¡ncame La Vida - VersiÃ³n 30 Aniversario,spotify:track:1dBuUMr6nUbVPNR08hByJX,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,1,138720,banda,2/21/2020,2.31,song34807,87F7,song87F7,139,02:19
42364,Pobre Ranchero - VersiÃ³n 30 Aniversario,spotify:track:0NDkCk3RDMhGh3unwZJNaJ,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:52q5WhmITcyCrhmqHHnjgI,30 Aniversario,2,141040,corrido,2/21/2020,2.35,song34808,87F8,song87F8,141,02:21
