,spotify_artist_id,derived_artist_id,artist_name
132,spotify:artist:41MozSoPIsD1dJM0CLPjZF,artist132,BLACKPINK
133,spotify:artist:6TIYQ3jFPwQSRmorSezPxX,artist133,Machine Gun Kelly
134,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,artist134,The Rolling Stones
135,spotify:artist:6olE6TJLqED3rqDCT0FyPh,artist135,Nirvana
136,spotify:artist:08GQAI4eElDnROBrJRGE0X,artist136,Fleetwood Mac
137,spotify:artist:1GxkXlMwML1oSg5eLPiAz3,artist137,Michael Bublé
138,spotify:artist:1McMsnEElThX1knmY4oliG,artist138,Olivia Rodrigo
139,spotify:artist:3HiuzBlSW7pGDXlSFMhO2g,artist139,Young Dolph
140,spotify:artist:0RESbWvOMyua0yuyVrztJ5,artist140,Key Glock
141,spotify:artist:1HBjj22wzbscIZ9sEb5dyf,artist141,Jonas Blue
142,spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ,artist142,R3HAB
143,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,artist143,Guns N' Roses
144,spotify:artist:26dSoYclwsYLMAKD3tpOr4,artist144,Britney Spears
145,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,artist145,Bastille
146,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,artist146,Childish Gambino
147,spotify:artist:0c173mlxpT3dSFRgMO8XPh,artist147,Big Sean
148,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR,artist148,Alessia Cara
149,spotify:artist:1VPmR4DJC1PlOtd0IADAO0,artist149,$uicideboy$
150,spotify:artist:47MpMsUfWtgyIIBEFOr4FE,artist150,Lunay
151,spotify:artist:2NfSBtmWe7oPw1EmetJVso,artist151,Boza
152,spotify:artist:1ZwdS5xdxEREPySFridCfh,artist152,2Pac
153,spotify:artist:2UBt0GWBuPVXlPisRvWzlD,artist153,Dead Prez
154,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,artist154,Lorde
155,spotify:artist:23zg3TcAtWQy7J6upgbUnj,artist155,Usher
156,spotify:artist:0vR2qb8m9WHeZ5ByCbimq2,artist156,Reik
157,spotify:artist:3uo0ix4Y67XHVWBhXXIY1S,artist157,Xavier Wulf
158,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,artist158,Queen
159,spotify:artist:790FomKkXshlbRYZFtlgla,artist159,KAROL G
160,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,artist160,Gorillaz
161,spotify:artist:2FXC3k01G6Gw61bmprjgqS,artist161,Hozier
162,spotify:artist:4obzFoKoKRHIphyHzJ35G3,artist162,Becky G
163,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,artist163,Christina Aguilera
164,spotify:artist:7MP4jhYmFEgb0AtiOkw55s,artist164,Play-N-Skillz
165,spotify:artist:6vXTefBL93Dj5IqAWq6OTv,artist165,French Montana
166,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,artist166,The Killers
167,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,artist167,Foo Fighters
168,spotify:artist:20sxb77xiYeusSH8cVdatc,artist168,Meek Mill
169,spotify:artist:6FBDaR13swtiWwGhX1WQsP,artist169,blink-182
170,spotify:artist:2jku7tDXc6XoB6MO2hFuqg,artist170,Tory Lanez
171,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,artist171,Mariah Carey
172,spotify:artist:2C6i0I5RiGzDKN9IAF8reh,artist172,Banda MS de Sergio Lizárraga
173,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,artist173,John Legend
174,spotify:artist:51Blml2LZPmy7TTiAg47vQ,artist174,U2
175,spotify:artist:6JL8zeS1NmiOftqZTRgdTz,artist175,Meghan Trainor
176,spotify:artist:36QJpDe2go2KgaRleHCDTp,artist176,Led Zeppelin
177,spotify:artist:7iZtZyCzp3LItcw1wtPI3D,artist177,Rae Sremmurd
178,spotify:artist:5yG7ZAZafVaAlMTeBybKAL,artist178,Iggy Azalea
179,spotify:artist:3mIj9lX2MWuHmhNCA7LSCW,artist179,The 1975
180,spotify:artist:3gd8FJtBJtkRxdfbTu19U2,artist180,Mumford & Sons
181,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F,artist181,Ava Max
182,spotify:artist:0tmwSHipWxN12fsoLcFU3B,artist182,Manuel Turizo
183,spotify:artist:7wU2WGCJ8HxkekHHE2QLul,artist183,Fuego
184,spotify:artist:1WXbiUMl1AT9Inb619xPUg,artist184,BIN
185,spotify:artist:718COspgdWOnwOFpJHRZHS,artist185,Luke Combs
186,spotify:artist:5eAWCfyUhZtHHtBdNk56l1,artist186,System Of A Down
187,spotify:artist:3GBPw9NK25X1Wt2OUvOwY3,artist187,Jack Johnson
188,spotify:artist:12Chz98pHFMPJEknJQMWvI,artist188,Muse
189,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,artist189,Elvis Presley
190,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,artist190,Radiohead
191,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,artist191,The Neighbourhood
192,spotify:artist:6AgTAQt8XS6jRWi4sX7w49,artist192,Polo G
193,spotify:artist:757aE44tKEUQEqRuT6GnEB,artist193,Roddy Ricch
194,spotify:artist:3pcerTbRFAPvWWtAfySFWB,artist194,Bino Rideaux
195,spotify:artist:4GvEc3ANtPPjt1ZJllr5Zl,artist195,Bazzi
196,spotify:artist:5p7f24Rk5HkUZsaS3BLG5F,artist196,Hailee Steinfeld
197,spotify:artist:33L43pzLHkc0qhwnfPLWAt,artist197,Chen Linong
198,spotify:artist:6DPYiyq5kWVQS4RGwxzPC7,artist198,Dr. Dre
199,spotify:artist:5me0Irg2ANcsgc93uaYrpb,artist199,The Notorious B.I.G.
200,spotify:artist:5NDMothbpdpq2xHqSjrrWn,artist200,Faith Evans
201,spotify:artist:1elUiq4X7pxej6FRlrEzjM,artist201,Jorge & Mateus
202,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,artist202,Paramore
203,spotify:artist:7Gz6VlTVwlNtBNMYV4OI3w,artist203,Shotgun Willy
204,spotify:artist:45dkTj5sMRSjrmBSBeiHym,artist204,Tate McRae
205,spotify:artist:3v9wPA58IVrX2dg6AjSPgi,artist205,Virginia To Vegas
206,spotify:artist:5jAMCwdNHWr7JThxtMuEyy,artist206,NOTD
207,spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0,artist207,Frank Sinatra
208,spotify:artist:4ofCBoyEiGSePFAG500xev,artist208,Regard
209,spotify:artist:3MZsBdqDrRTJihTHQrO6Dq,artist209,Joji
210,spotify:artist:6nS5roXSAGhTGr34W6n7Et,artist210,Disclosure
211,spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt,artist211,Fifth Harmony
212,spotify:artist:0ZED1XzwlLHW4ZaG4lOT6m,artist212,Julia Michaels
213,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,artist213,Oasis
214,spotify:artist:33ScadVnbm2X8kkUqOkC6Z,artist214,Don Omar
215,spotify:artist:58lV9VcRSjABbAbfWS6skp,artist215,Bon Jovi
216,spotify:artist:1uNFoZAHBGtllmzznpCI3s,artist216,Justin Bieber
217,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,artist217,Nelly
218,spotify:artist:0KPX4Ucy9dk82uj4GpKesn,artist218,Dalex
219,spotify:artist:2kqUKsTuEj1lPbm6BSn1AU,artist219,Rich Music LTD
220,spotify:artist:5INjqkS1o8h1imAzPqGZBb,artist220,Tame Impala
221,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,artist221,Tove Lo
222,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,artist222,JAY-Z
223,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg,artist223,The Lumineers
224,spotify:artist:2qk9voo8llSGYcZ6xrBzKx,artist224,Kings of Leon
225,spotify:artist:77kULmXAQ6vWer7IIHdGzI,artist225,Jordan Davis
226,spotify:artist:3AQRLZ9PuTAozP28Skbq8V,artist226,The Script
227,spotify:artist:5t28BP42x2axFnqOOMg3CM,artist227,Five Finger Death Punch
228,spotify:artist:63yrD80RY3RNEM2YDpUpO8,artist228,Melanie Martinez
229,spotify:artist:6jGMq4yGs7aQzuGsMgVgZR,artist229,Lil Tjay
230,spotify:artist:4VMYDCV2IEDYJArk749S6m,artist230,Daddy Yankee
231,spotify:artist:4phGZZrJZRo4ElhRtViYdl,artist231,Jason Mraz
232,spotify:artist:181bsRPaVXVlUKXrxwZfHK,artist232,Megan Thee Stallion
233,spotify:artist:1moxjboGR7GNWYIMWsRjgG,artist233,Florence + The Machine
234,spotify:artist:0SCbttzoZTnLFebDYmAWCm,artist234,Glee Cast
235,spotify:artist:1cUpGtXcSQsovNYEZOQgOG,artist235,Nanpa Básico
236,spotify:artist:2hejA1Dkf8v8R0koF44FvW,artist236,Gera MX
237,spotify:artist:3vQ0GE3mI0dAaxIMYe5g7z,artist237,Paulo Londra
238,spotify:artist:6deZN1bslXzeGvOLaLMOIF,artist238,Nickelback
239,spotify:artist:14zUHaJZo1mnYtn6IBRaRP,artist239,Justin Quiles
240,spotify:artist:699OTQXzgjhIYAHMy9RyPD,artist240,Playboi Carti
241,spotify:artist:3IYUhFvPQItj6xySrBmZkd,artist241,Creedence Clearwater Revival
242,spotify:artist:3eqjTLE0HfPfh78zjh6TqT,artist242,Bruce Springsteen
243,spotify:artist:0cGUm45nv7Z6M6qdXYQGTX,artist243,Kehlani
244,spotify:artist:6XpaIBNiVzIetEPCWDvAFP,artist244,Whitney Houston
245,spotify:artist:6wWVKhxIU2cEi0K81v7HvP,artist245,Rammstein
246,spotify:artist:3utZ2yeQk0Z3BCOBWP7Vlu,artist246,Cro
247,spotify:artist:3oSJ7TBVCWMDMiYjXNiCKE,artist247,Kane Brown
248,spotify:artist:487N2T9nIPEHrlTZLL3SQs,artist248,Zé Neto & Cristiano
249,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,artist249,ABBA
250,spotify:artist:28gNT5KBp7IjEOQoevXf9N,artist250,Camilo
251,spotify:artist:0xRXCcSX89eobfrshSVdyu,artist251,MEDUZA
252,spotify:artist:4bw2Am3p9ji3mYsXNXtQcd,artist252,Piso 21
253,spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb,artist253,My Chemical Romance
254,spotify:artist:3fZk3Gm5dN5v5yfYMQ04Bx,artist254,Dímelo Flow
255,spotify:artist:3ycxRkcZ67ALN3GQJ57Vig,artist255,Masego
256,spotify:artist:7vXDAI8JwjW531ouMGbfcp,artist256,TINI
257,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,artist257,Bring Me The Horizon
258,spotify:artist:4EzkuveR9pLvDVFNx6foYD,artist258,James Bay
259,spotify:artist:6x2LnllRG5uGarZMsD4iO8,artist259,Thomas Rhett
260,spotify:artist:2feDdbD5araYcm6JhFHHw7,artist260,Labrinth
261,spotify:artist:10exVja0key0uqUkk6LJRT,artist261,Vance Joy
262,spotify:artist:1anyVhU62p31KFi8MEzkbf,artist262,Chance the Rapper
263,spotify:artist:3UrWALysNWwb24BnlAzSwm,artist263,MihTy
264,spotify:artist:3p7PcrEHaaKLJnPUGOtRlT,artist264,Henrique & Juliano
265,spotify:artist:3BmGtnKgCSGYIUhmivXKWX,artist265,Kelly Clarkson
266,spotify:artist:3E6xrwgnVfYCrCs0ePERDz,artist266,Wisin
267,spotify:artist:3TOqt5oJwL9BE2NG9MEwDa,artist267,Disturbed
268,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,artist268,Aerosmith
269,spotify:artist:1gPhS1zisyXr5dHTYZyiMe,artist269,Kevin Gates
270,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,artist270,Jennifer Lopez
271,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,artist271,Avril Lavigne
272,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,artist272,Bon Iver
